,Movies_name,Year,Certificate,runtime,genere,rating,Metascore,Description,Cast,Votes
32,Venom,2018,PG-13,112,"Action, Adventure, Sci-Fi",6.7,35,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.","Director:RubenFleischer|Stars:TomHardy,MichelleWilliams,RizAhmed,ScottHaze",432484
33,Fear the Walking Dead,2015– ,TV-MA,44,"Drama, Horror, Sci-Fi",6.9,NA,"A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","Stars:KimDickens,FrankDillane,CliffCurtis,RubénBlades",122556
34,Spider-Man,2002,PG-13,121,"Action, Adventure, Sci-Fi",7.3,73,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.","Director:SamRaimi|Stars:TobeyMaguire,KirstenDunst,WillemDafoe,JamesFranco",736039
35,La Brea,2021– ,TV-14,NA,"Drama, Mystery, Sci-Fi",5.5,NA,"A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers.","Stars:NatalieZea,EoinMacken,ChikéOkonkwo,KarinaLogue",6148
36,Loki,2021– ,TV-14,NA,"Action, Adventure, Fantasy",8.3,NA,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Stars:TomHiddleston,OwenWilson,GuguMbatha-Raw,SophiaDiMartino",228641
37,Avengers: Endgame,2019,PG-13,181,"Action, Adventure, Drama",8.4,78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors:AnthonyRusso,JoeRusso|Stars:RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth",966340
38,The Matrix,1999,R,136,"Action, Sci-Fi",8.7,73,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:LanaWachowski,LillyWachowski|Stars:KeanuReeves,LaurenceFishburne,Carrie-AnneMoss,HugoWeaving",1781591
39,Titane,2021,R,108,"Drama, Horror, Sci-Fi",6.7,74,"Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.","Director:JuliaDucournau|Stars:VincentLindon,AgatheRousselle,GaranceMarillier,LaïsSalameh",18349
40,Army of the Dead,2021,R,148,"Action, Crime, Horror",5.8,57,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","Director:ZackSnyder|Stars:DaveBautista,EllaPurnell,AnadelaReguera,OmariHardwick",154283
41,The Handmaid's Tale,2017– ,TV-MA,60,"Drama, Sci-Fi, Thriller",8.4,NA,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Stars:ElisabethMoss,YvonneStrahovski,JosephFiennes,AnnDowd",207258
42,Westworld,2016– ,TV-MA,62,"Drama, Mystery, Sci-Fi",8.6,NA,"Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Stars:EvanRachelWood,JeffreyWright,EdHarris,ThandiweNewton",457512
43,Rick and Morty,2013– ,TV-MA,23,"Animation, Adventure, Comedy",9.2,NA,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Stars:JustinRoiland,ChrisParnell,SpencerGrammer,SarahChalke",444640
44,Ghostbusters II,1989,PG,108,"Action, Comedy, Fantasy",6.6,56,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.,"Director:IvanReitman|Stars:BillMurray,DanAykroyd,SigourneyWeaver,HaroldRamis",194546
45,What If...?,2021– ,TV-14,NA,"Animation, Action, Adventure",7.5,NA,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.","Stars:JeffreyWright,TerriDouglas,MatthewWood,RobinAtkinDownes",68463
46,Spider-Man: Homecoming,2017,PG-13,133,"Action, Adventure, Sci-Fi",7.4,73,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","Director:JonWatts|Stars:TomHolland,MichaelKeaton,RobertDowneyJr.,MarisaTomei",566273
47,Interstellar,2014,PG-13,169,"Adventure, Drama, Sci-Fi",8.6,74,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Director:ChristopherNolan|Stars:MatthewMcConaughey,AnneHathaway,JessicaChastain,MackenzieFoy",1646376
48,See,2019– ,TV-MA,60,"Action, Drama, Sci-Fi",7.7,NA,"Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.","Stars:JasonMomoa,SylviaHoeks,HeraHilmar,ChristianCamargo",64948
49,DC's Legends of Tomorrow,2016– ,TV-14,42,"Action, Adventure, Drama",6.8,NA,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Stars:CaityLotz,AmyLouisePemberton,DominicPurcell,NickZano",99432
